cand_name,cand_party,cand_cons,vote_share,total_reported_spending,electorate_figure,spending_limit,spending_limit_percent,direct_spending,national_spending,unpaid_claims,disputed_claims,advertising,unsolicited_material,transport,public_meeting,agent_staff,accomodation,personal_expenses,donations_accepted
Iram Kiani,Independent and Other,Altrincham and Sale West,0.41,"1,495.70","71,724","13,003.44",11.5,"1,495.70",0.00,0.00,0.00,199.70,"1,286.00",0.00,0.00,0.00,10.00,33.14,500.00
Mark Tami,Labour Party,Alyn and Deeside,42.48,"10,112.10","62,000","14,241.57",71,0.00,"10,112.10",0.00,0.00,"1,055.91","8,190.31",235.00,0.00,6.60,624.28,0.00,"5,843.42"
Sanjoy Sen,Conservative and Unionist Party,Alyn and Deeside,41.99,"9,384.09","61,573","14,241.57",65.89,0.00,"9,384.09",0.00,0.00,"1,473.21","5,848.86",0.00,164.38,"1,153.60",744.04,"1,000.00","9,384.09"
Donna Lalek,Liberal Democrats,Alyn and Deeside,5.92,"2,790.07","62,783","14,350.47",19.44,"2,790.07",0.00,0.00,0.00,0.00,"2,705.77",0.00,0.00,0.00,84.30,0.00,0.00
Susan Hills,Plaid Cymru,Alyn and Deeside,3.38,"1,095.00",NaN,NaN,NaN,"1,095.00",0.00,0.00,0.00,0.00,"1,095.00",0.00,0.00,0.00,0.00,0.00,0.00
Simon Wall,Brexit Party,Alyn and Deeside,6.23,"3,446.00",NaN,NaN,NaN,0.00,"3,446.00",0.00,0.00,500.00,"2,746.00",200.00,0.00,0.00,0.00,0.00,0.00
Nigel Mills,Conservative and Unionist Party,Amber Valley,63.85,"9,746.25","69,976","14,997.84",64.98,"8,189.25","1,557.00",0.00,0.00,"1,175.17","7,021.08",0.00,150.00,850.00,550.00,300.94,"9,746.25"
Lian Pizzey,Green Party,Amber Valley,3.05,0.00,NaN,NaN,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adam Thompson,Labour Party,Amber Valley,26.8,"4,081.25","68,679","14,881.11",27.43,0.00,"4,081.25",0.00,0.00,655.00,"3,363.07",0.00,0.00,0.00,63.18,0.00,429.50
Kirstene Hair,Conservative and Unionist Party,Angus,40.35,"12,863.26","62,515","14,326.35",89.79,0.00,"12,863.26",0.00,0.00,"2,998.84","6,648.30",0.00,0.00,"1,270.00","1,946.12",180.00,"12,863.26"
Dave Doogan,Scottish National Party,Angus,49.15,"13,479.39","62,515","14,326.25",94.09,"12,111.09","1,368.30",0.00,0.00,"2,848.65","9,280.74",0.00,0.00,0.00,"1,350.00",0.00,"13,479.39"
Ben Lawrie,Liberal Democrats,Angus,5.75,"2,381.36","62,515","14,326.35",16.62,"2,381.36",0.00,0.00,0.00,0.00,"2,381.36",0.00,0.00,0.00,0.00,0.00,405.04
Monique Miller,Labour Party,Angus,4.75,"1,838.90","47,000","14,326.35",12.84,"1,838.90",0.00,0.00,0.00,35.50,"1,562.00",197.35,0.00,28.85,15.20,155.25,0.00
Hywel Williams,Plaid Cymru,Arfon,45.17,"10,524.63","42,215","12,215.67",86.16,"10,524.63",0.00,0.00,0.00,"3,621.63","5,562.00",0.00,0.00,450.00,891.00,0.00,"6,060.00"
Gary Gribben,Brexit Party,Arfon,3.99,0.00,"42,215","12,215.67",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gonul Daniels,Conservative and Unionist Party,Arfon,15.23,"5,520.27","39,063","12,215.67",45.19,0.00,"5,520.27",0.00,0.00,"3,989.64","1,076.63",136.62,0.00,116.14,201.24,850.00,"5,520.27"
Gary Mulvaney,Conservative and Unionist Party,Argyll and Bute,35.23,"13,309.66","64,796","14,531.64",91.59,0.00,"13,309.66",0.00,0.00,"3,212.69","6,676.58",0.00,0.00,755.00,"2,665.39",295.00,"13,309.66"
Alan Reid,Liberal Democrats,Argyll and Bute,14.22,"9,518.86","64,796","14,531.64",65.5,"4,959.83","4,556.03",0.00,0.00,"2,988.76","6,343.02",0.00,0.00,123.08,61.00,668.33,"12,816.03"
Rhea Barnes,Labour Party,Argyll and Bute,6.76,"2,920.15","64,796","14,531.64",20.1,"2,920.15",0.00,0.00,0.00,274.15,"2,646.00",0.00,0.00,0.00,0.00,207.60,"2,646.00"
Isabel Thurston,Green Party,Arundel and South Downs,4.1,652.91,"38,609","12,174.81",5.36,652.91,0.00,0.00,0.00,0.00,652.91,0.00,0.00,0.00,0.00,0.00,300.00
Alison Bennett,Liberal Democrats,Arundel and South Downs,21.24,"10,454.75","81,276","16,014.84",65.28,"10,102.07",352.68,0.00,0.00,"1,683.90","8,040.47",0.00,257.10,0.00,473.28,360.00,"11,489.37"
Robert Wheal,Independent and Other,Arundel and South Downs,0.91,977.62,"80,167","15,915.03",6.14,977.62,0.00,0.00,0.00,604.23,285.00,0.00,35.49,52.90,0.00,0.00,0.00
Andrew Griffith,Conservative and Unionist Party,Arundel and South Downs,57.92,"9,047.18","81,726","16,055.34",56.35,"7,130.40","1,916.78",0.00,0.00,"1,508.76","5,469.66",0.00,27.03,"1,875.75",165.98,0.00,"9,047.18"
Bella Sankey,Labour Party,Arundel and South Downs,15.83,"5,625.91","76,697","15,602.73",36.06,"5,625.91",0.00,0.00,0.00,"1,490.22","3,134.24",700.00,0.00,0.00,0.00,NaN,0.00
Jason Zadrozny,Independent and Other,Ashfield,27.56,"15,480.22","77,356","15,662.04",98.84,"15,180.22",300.00,0.00,0.00,"1,878.72","13,301.50",0.00,0.00,0.00,300.00,230.00,0.00
Rebecca Wain,Liberal Democrats,Ashfield,2.26,94.43,"77,356","15,662.04",0.6,94.43,0.00,0.00,0.00,0.00,69.03,0.00,10.00,0.00,15.40,81.00,150.00
Lee Anderson,Conservative and Unionist Party,Ashfield,39.26,"13,114.75","77,356","15,662.04",83.74,0.00,"13,114.75",0.00,0.00,"2,678.92","8,795.69",0.00,160.05,958.17,521.92,300.00,"31,089.74"
Martin Daubney,Brexit Party,Ashfield,5.11,"7,437.80","71,563","15,662.04",47.49,"7,437.80",0.00,0.00,0.00,"1,031.89","5,235.72",26.60,0.00,900.00,243.59,327.61,0.00
Natalie Fleet,Labour Party,Ashfield,24.44,"12,371.98","77,356","15,662.04",78.99,0.00,"12,371.98",0.00,0.00,"1,573.00","6,586.73",0.00,0.00,"2,009.20","2,203.05",0.00,"12,371.98"
Damian Green,Conservative and Unionist Party,Ashford,62.06,"8,820.43","89,553","16,759.77",52.63,"8,544.18",276.25,0.00,0.00,319.24,"7,769.36",0.00,0.00,0.00,731.83,0.00,"8,820.43"
Mandy Rossi,Green Party,Ashford,4.39,"1,358.83","87,800","16,602.00",8.18,"1,358.83",0.00,0.00,0.00,351.84,"1,006.99",0.00,0.00,0.00,0.00,0.00,"1,358.53"
Dara Farrell,Labour Party,Ashford,22.05,"2,731.00","87,800","16,602.00",16.45,"2,731.00",0.00,0.00,0.00,0.00,"2,731.00",0.00,0.00,0.00,0.00,0.00,0.00
Adrian Gee-Turner,Liberal Democrats,Ashford,10.07,"3,940.43","87,800","16,602.00",23.73,"3,820.43",120.00,0.00,0.00,174.99,"3,348.81",0.00,0.00,120.00,296.63,0.00,"3,940.43"
Angela Rayner,Labour Party,Ashton-Under-Lyne,48.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lee Huntbach,Green Party,Ashton-Under-Lyne,3.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
George Rice,Liberal Democrats,Ashton-Under-Lyne,3.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dan Costello,Conservative and Unionist Party,Ashton-Under-Lyne,37.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Steven Lambert,Liberal Democrats,Aylesbury,16.64,"7,928.86","85,836","16,425.00",48.27,"7,928.86",0.00,0.00,0.00,207.90,"7,633.29",0.00,0.00,0.00,87.67,0.00,"7,928.86"
Coral Simpson,Green Party,Aylesbury,3.95,0.00,"85,836","7,725.24",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liz Hind,Labour Party,Aylesbury,25.36,"3,836.05","85,836","16,425.24",23.35,"3,836.05",0.00,0.00,0.00,234.53,"3,507.63",74.44,0.00,0.00,19.45,19.00,100.00
Rob Butler,Conservative and Unionist Party,Aylesbury,54.04,"14,485.87","85,836","16,425.24",88.19,"4,004.50","10,481.37",0.00,0.00,415.85,"7,708.71",0.00,20.00,"4,605.50","1,735.81",481.59,"14,485.87"
Allan Dorans,Scottish National Party,"Ayr, Carrick and Cumnock",43.51,"10,462.40","70,717","15,064.53",69.45,"10,462.40",0.00,0.00,0.00,"3,316.67","5,845.60","1,223.29",0.00,0.00,76.84,150.00,"10,462.40"
Martin Dowey,Conservative and Unionist Party,"Ayr, Carrick and Cumnock",38.51,"12,419.86","70,717","15,064.53",82.44,0.00,"12,419.86",0.00,0.00,520.45,"8,807.26",0.00,0.00,650.00,"2,442.15",85.00,"12,419.86"
Helena Bongard,Liberal Democrats,"Ayr, Carrick and Cumnock",4.63,0.00,"72,076","15,186.84",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Duncan Townson,Labour Party,"Ayr, Carrick and Cumnock",13.35,"2,001.05","70,717","15,177.30",13.18,"2,001.05",0.00,0.00,0.00,486.05,"1,519.00",96.00,0.00,0.00,0.00,0.00,0.00
Victoria Prentis,Conservative and Unionist Party,Banbury,54.27,"10,705.54","88,275","16,644.75",64.32,"5,311.02","5,394.52",0.00,0.00,663.39,"5,313.13",226.17,0.00,"1,777.55","2,725.30",210.00,"10,705.54"
Ian Middleton,Green Party,Banbury,4.14,863.00,"88,275","16,644.75",5.18,863.00,0.00,0.00,0.00,263.73,584.21,0.00,0.00,15.83,0.00,0.00,0.00
Suzette Watson,Labour Party,Banbury,27.55,"3,687.88","88,275","16,644.75",22.16,"3,687.88",0.00,0.00,0.00,782.89,"2,271.00",613.99,0.00,0.00,20.00,307.83,"5,000.00"
Tim Bearder,Liberal Democrats,Banbury,14.04,"6,445.49","88,275","16,644.75",38.72,"6,445.49",0.00,0.00,0.00,291.80,"6,153.69",0.00,0.00,0.00,0.00,0.00,"2,010.00"
David Duguid,Conservative and Unionist Party,Banff and Buchan,50.12,"13,520.60","66,655","14,698.95",91.98,0.00,"13,520.60",0.00,0.00,"2,185.84","7,350.16",360.00,0.00,"1,180.00","2,444.60",113.00,"13,520.60"
Paul Robertson,Scottish National Party,Banff and Buchan,40.38,"13,995.95","66,655","14,698.95",95.22,"13,297.95",695.00,0.00,0.00,"1,538.38","9,619.74",0.00,0.00,0.00,"2,837.83",0.00,"13,992.95"
