cand_name,cand_party,cand_cons,vote_share,total_reported_spending,electorate_figure,spending_limit,spending_limit_percent,direct_spending,national_spending,unpaid_claims,disputed_claims,advertising,unsolicited_material,transport,public_meeting,agent_staff,accomodation,personal_expenses,donations_accepted
Sue Close,Liberal Democrats,Blackpool North and Cleveleys,3.85,25.00,"62,363","12,458.16",0.2,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chris Webb,Labour Party,Blackpool North and Cleveleys,35.48,"11,814.20","62,636","12,458.16",94.83,0.00,"11,814.20",0.00,0.00,"2,949.57","6,546.37",0.00,0.00,"1,525.68",792.58,0.00,"11,814.20"
Neil Holden,Independent and Other,Blackpool North and Cleveleys,1.14,870.00,"62,636","12,088.50",7.2,870.00,0.00,0.00,0.00,870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gordon Marsden,Labour Party,Blackpool South,38.34,"11,137.85","56,475","12,088.50",92.14,0.00,"11,137.85",0.00,0.00,"1,276.34","7,428.51",272.50,0.00,842.38,"1,318.12",0.00,"11,137.85"
Bill Greene,Liberal Democrats,Blackpool South,3.08,24.00,"56,475","12,088.50",0.2,0.00,24.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Scott Benton,Conservative and Unionist Party,Blackpool South,49.61,"11,536.92","56,475","12,088.50",95.44,0.00,"11,536.92",0.00,0.00,"1,867.30","7,032.36",238.07,78.14,"1,640.62",680.43,0.00,"11,536.92"
Rebecca Daniels,Green Party,Blackpool South,1.72,30.00,"56,475","13,782.75",0.22,0.00,30.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Brown,Brexit Party,Blackpool South,6.13,"5,690.70","56,475","12,088.50",47.08,"5,690.70",0.00,0.00,0.00,"5,335.70",0.00,35.00,20.00,0.00,300.00,0.00,0.00
Nick Smith,Labour Party,Blaenau Gwent,49.18,"7,186.62","49,568","13,161.12",54.6,200.00,"6,986.62",0.00,0.00,"1,227.97","4,719.16",0.00,5.00,0.00,"1,234.49",0.00,"7,186.62"
Richard Taylor,Brexit Party,Blaenau Gwent,20.57,"8,875.49","50,437","13,239.33",67.04,"8,875.49",0.00,0.00,0.00,500.00,"7,875.49",0.00,0.00,500.00,0.00,180.82,0.00
David Brown,Brexit Party,Blackpool South,6.13,"5,690.70","56,475","12,088.50",47.08,"5,690.70",0.00,0.00,0.00,"5,335.70",0.00,35.00,20.00,0.00,300.00,0.00,0.00
Stephen Priestnall,Green Party,Blaenau Gwent,1.28,126.00,"53,791","13,541.19",0.93,126.00,0.00,0.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Laura Jones,Conservative and Unionist Party,Blaenau Gwent,19.02,0.00,"49,568","13,161.12",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kathy King,Independent and Other,Blaydon,1.35,"1,085.00",NaN,NaN,NaN,"1,085.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.00,"1,085.00"
Liz Twist,Labour Party,Blaydon,43.33,"9,264.67","67,853","12,771.18",72.54,0.00,"9,264.67",0.00,0.00,673.28,"7,736.19",0.00,0.00,0.00,852.20,0.00,"9,264.67"
Lisabela Marschild,Independent and Other,Blaydon,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Diane Cadman,Green Party,Blaydon,2.8,154.80,"66,206","12,672.36",1.22,154.80,0.00,0.00,0.00,0.00,154.80,0.00,0.00,0.00,0.00,0.00,210.00
Adrian Pepper,Conservative and Unionist Party,Blaydon,31.22,"2,837.35","66,206","12,672.36",22.39,"2,124.22",713.31,0.00,0.00,615.00,0.00,0.00,0.00,98.13,0.00,0.00,"3,000.00"
Michael Robinson,Brexit Party,Blaydon,12.77,"3,335.20","66,206","12,672.36",26.32,"3,335.20",0.00,0.00,0.00,145.20,"3,190.00",0.00,0.00,0.00,0.00,264.52,0.00
Lee Garrett,Independent and Other,Blaydon,0.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dawn Furness,Green Party,Blyth Valley,2.8,38.57,"63,985","12,539.10",0.31,38.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.57,0.00,0.00
Ian Levy,Conservative and Unionist Party,Blyth Valley,42.68,"10,705.40","63,348","12,500.88",85.64,"9,296.15","1,409.25",0.00,0.00,721.39,"8,962.59",0.00,68.57,492.50,460.35,0.00,"10,705.40"
Susan Dungworth,Labour Party,Blyth Valley,40.94,"10,942.83","63,492","12,509.52",87.48,0.00,"10,942.83",0.00,0.00,916.21,"7,063.64",0.00,0.00,"2,277.68",685.20,0.00,"10,942.83"
Mark Peart,Brexit Party,Blyth Valley,8.31,"5,449.50",NaN,"8,700.00",62.64,"5,449.50",0.00,0.00,0.00,"3,244.00","2,205.50",0.00,0.00,0.00,0.00,506.03,0.00
Thom Chapman,Liberal Democrats,Blyth Valley,5.26,"1,657.00","63,348","12,500.88",13.26,"1,654.00",0.00,0.00,0.00,0.00,"1,657.00",0.00,0.00,0.00,0.00,4.50,"1,657.00"
Nick Gibb,Conservative and Unionist Party,Bognor Regis and Littlehampton,63.49,"7,427.29","75,316","14,477.54",51.3,"6,404.83","1,022.66",0.00,0.00,"2,111.27","4,626.56",0.00,0.00,115.26,574.40,0.00,"7,427.29"
Alan Butcher,Labour Party,Bognor Regis and Littlehampton,19.56,"2,409.96","77,446","15,670.14",15.38,"2,409.96",0.00,0.00,0.00,106.13,"2,126.63",0.00,0.00,0.00,177.20,0.00,"2,393.64"
Francis Oppler,Liberal Democrats,Bognor Regis and Littlehampton,11.02,"7,584.90","77,446","13,346.76",56.83,"7,342.52",242.38,0.00,0.00,0.00,"3,444.48",0.00,0.00,734.00,"3,406.42",0.00,"7,342.52"
David Kurten,UK Independence Party,Bognor Regis and Littlehampton,1.65,"1,328.36","77,446","13,346.76",9.95,370.36,958.00,0.00,0.00,26.62,"1,083.00",168.74,50.00,0.00,0.00,479.50,175.00
Carol Birch,Green Party,Bognor Regis and Littlehampton,3.56,539.00,"77,446","13,346.76",4.04,539.00,0.00,0.00,0.00,0.00,539.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrew Elston,Independent and Other,Bognor Regis and Littlehampton,0.72,0.00,"77,446",NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.58,NaN
Dennis Skinner,Labour Party,Bolsover,35.9,"11,435.48","73,577","15,321.93",74.63,0.00,"11,435.48",0.00,0.00,"1,206.50","8,032.99",20.00,0.00,"1,188.88",987.11,0.00,"11,435.48"
Mark Fletcher,Conservative and Unionist Party,Bolsover,47.44,"13,970.82","73,826","15,344.34",91.05,0.00,"13,970.82",0.00,0.00,"2,516.83","9,752.64",0.00,15.95,908.17,777.23,330.00,"13,970.82"
David Kesteven,Green Party,Bolsover,1.65,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Hancock,Liberal Democrats,Bolsover,3.83,23.75,"74,292","8,700.00",0.27,23.75,0.00,0.00,0.00,23.75,0.00,0.00,0.00,0.00,0.00,17.37,50.00
Kevin Harper,Brexit Party,Bolsover,9.04,"3,761.00",NaN,NaN,NaN,"3,761.00",0.00,0.00,0.00,192.00,"1,196.06",492.61,396.83,"1,200.00",283.60,"3,761.10",283.60
Natalie Hoy,Independent and Other,Bolsover,1.02,350.50,"74,292",NaN,NaN,350.50,0.00,0.00,0.00,0.00,350.50,0.00,0.00,0.00,0.00,350.50,330.00
Ross Walker,Independent and Other,Bolsover,1.13,992.00,"64,400",NaN,NaN,992.00,0.00,0.00,0.00,992.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yasmin Qureshi,Labour Party,Bolton South East,52.99,"11,016.44","69,163","12,849.78",85.73,"10,739.01",277.43,0.00,0.00,96.00,"10,438.44",0.00,0.00,0.00,482.00,0.00,"19,477.43"
Kevin Walsh,Liberal Democrats,Bolton South East,3.48,"1,461.08","68,938","12,836.28",11.38,"1,461.08",0.00,0.00,0.00,61.08,"1,400.00",0.00,0.00,0.00,0.00,0.00,"1,461.08"
Julie Hilling,Labour Party,Bolton West,37.32,"10,166.13",NaN,"13,000.00",78.2,"6,666.13","3,500.00",0.00,0.00,0.00,"7,517.95",0.00,0.00,"1,528.68","1,119.50",0.00,"10,166.13"
Chris Green,Conservative and Unionist Party,Bolton West,55.29,"12,442.57","73,191","15,287.19",81.39,250.00,"12,192.57",0.00,0.00,"1,961.08","7,064.67",142.89,245.23,"1,617.25","1,411.45",0.00,"12,442.57"
Paris Hayes,Green Party,Bolton West,1.9,58.59,NaN,NaN,NaN,56.59,2.00,0.00,0.00,2.00,56.59,0.00,0.00,0.00,0.00,0.00,0.00
Peter Dowd,Labour Party,Bootle,79.44,"9,355.18","73,375","13,102.50",71.4,"9,355.18",0.00,0.00,0.00,39.45,"5,311.83",41.69,"3,373.00",8.00,581.21,0.00,"9,320.03"
Mike Carter,Green Party,Bootle,2.37,84.00,"73,375","13,102.50",0.64,84.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00
Rebecca Hanson,Liberal Democrats,Bootle,3.71,"2,555.98","73,375","13,102.50",19.51,"2,555.98",0.00,0.00,0.00,334.31,"2,221.67",0.00,0.00,0.00,0.00,0.00,"2,555.98"
Tarsilo Onuluk,Conservative and Unionist Party,Bootle,9.17,"2,795.17","73,375","13,102.50",21.33,"2,795.17",0.00,0.00,0.00,480.00,"1,450.00",394.97,0.00,183.46,286.74,681.71,0.00
Kim Knight,Brexit Party,Bootle,5.31,"2,205.50","70,824",NaN,NaN,0.00,"2,205.50",0.00,0.00,0.00,"2,205.50",0.00,0.00,0.00,0.00,0.00,0.00
Hilary Jones,Liberal Democrats,Boston and Skegness,4.71,934.71,"68,895",NaN,NaN,934.71,0.00,0.00,0.00,0.00,781.00,32.15,0.00,0.00,121.56,0.00,934.71
Matt Warman,Conservative and Unionist Party,Boston and Skegness,76.66,"6,262.04","68,895","14,900.55",42.03,"6,137.04",125.00,0.00,0.00,0.00,"6,262.04",0.00,0.00,0.00,0.00,0.00,"1,500.00"
Ben Cook,Labour Party,Boston and Skegness,15.21,894.93,"68,895","14,900.55",6.01,894.93,0.00,0.00,0.00,157.93,737.00,0.00,0.00,0.00,0.00,21.00,0.00
Hilary Jones,Liberal Democrats,Boston and Skegness,4.71,934.71,"68,895",NaN,NaN,934.71,0.00,0.00,0.00,0.00,781.00,32.15,0.00,0.00,121.56,0.00,934.71
Michael Mullaney,Liberal Democrats,Bosworth,16.12,"10,205.20","79,834",NaN,NaN,"10,205.20",0.00,0.00,0.00,0.00,"10,205.20",0.00,0.00,0.00,0.00,0.00,"10,205.20"
Luke Evans,Conservative and Unionist Party,Bosworth,63.89,"8,651.69","79,834","13,490.04",64.13,"8,378.99",272.70,0.00,0.00,"1,113.50","6,438.69",0.00,0.00,"1,022.70",76.80,0.00,"6,152.70"
Rick Middleton,Labour Party,Bosworth,17.33,"4,849.11","79,834","15,885.06",30.53,0.00,"4,849.11",0.00,0.00,"2,803.11","2,046.00",0.00,0.00,0.00,0.00,0.00,"4,849.11"
Mick Gregg,Green Party,Bosworth,2.66,0.00,"79,834",0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tobias Ellwood,Conservative and Unionist Party,Bournemouth East,50.59,"8,270.40","72,015","13,020.90",63.52,"6,606.72","1,663.68",0.00,0.00,"2,000.00","4,356.72",0.00,430.00,968.68,515.00,250.00,"4,927.82"
Conor Burns,Conservative and Unionist Party,Bournemouth West,53.4,"11,070.59","70,430","12,925.80",85.65,"9,979.09","1,091.50",0.00,0.00,"2,501.02","7,361.07",100.00,100.00,360.35,648.15,0.00,"15,970.00"
Derek Florey,Green Party,Bracknell,3.84,66.20,"78,662","13,419.72",0.49,66.20,0.00,0.00,0.00,17.45,48.75,0.00,0.00,0.00,0.00,0.00,66.20
Paul Bidwell,Labour Party,Bracknell,22.2,"5,093.80","78,978","13,438.00",37.91,"5,053.80",40.00,0.00,0.00,53.80,"5,000.00",0.00,0.00,0.00,0.00,0.00,"3,550.00"
Olivio Barreto,Independent and Other,Bracknell,1.02,375.00,"78,978","20,000.00",1.88,175.00,200.00,0.00,0.00,175.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
Kaweh Beheshtizadeh,Liberal Democrats,Bracknell,14.26,"3,347.72","78,978","12,577.00",26.62,"2,870.22",477.50,0.00,0.00,175.00,"2,695.22",202.50,0.00,275.00,0.00,250.00,"4,236.00"
James Sunderland,Conservative and Unionist Party,Bracknell,58.68,"10,868.25","78,662","13,419.72",80.99,"9,399.46","1,468.79",0.00,0.00,"2,956.85","5,259.25",0.00,0.00,0.00,"2,652.15",75.00,"9,399.46"
Imran Hussain,Labour Party,Bradford East,62.98,"11,158.21","70,517","12,931.02",86.29,0.00,"11,158.21",0.00,0.00,650.00,"10,068.21",0.00,0.00,0.00,440.00,0.00,0.00
Kaweh Beheshtizadeh,Liberal Democrats,Bracknell,14.26,"3,347.72","78,978","12,577.00",26.62,"2,870.22",477.50,0.00,0.00,175.00,"2,695.22",202.50,0.00,275.00,0.00,250.00,"4,236.00"
Linden Kemkaran,Conservative and Unionist Party,Bradford East,21.91,"1,415.76","70,517","12,931.02",10.95,"1,168.30",247.46,0.00,0.00,550.00,348.30,0.00,270.00,97.46,150.00,83.68,"1,168.30"
Jeanette Sunderland,Liberal Democrats,Bradford East,7.5,"6,063.43","70,517","12,931.02",46.89,"3,867.99","2,195.44",0.00,0.00,0.00,"4,519.99",0.00,0.00,678.55,864.89,0.00,"6,064.54"
Judith Cummins,Labour Party,Bradford South,46.27,"11,520.04","67,084","12,725.04",90.53,466.82,"11,053.22",0.00,0.00,419.24,"8,981.59",0.00,0.00,505.43,"1,613.78",0.00,"17,053.22"
Alun Griffiths,Liberal Democrats,Bradford South,3.79,"1,054.17","67,084","12,725.04",8.28,119.40,934.77,0.00,0.00,0.00,173.70,0.00,0.00,407.13,473.34,0.00,"1,054.77"
Matthew Edwards,Green Party,Bradford South,2.47,"1,440.20","67,084","12,725.04",11.32,"1,440.20",0.00,0.00,0.00,9.60,"1,430.60",0.00,0.00,0.00,0.00,0.00,"1,440.20"
Kulvinder Manik,Brexit Party,Bradford South,7.09,"10,666.44","67,084","12,725.04",83.82,"10,666.44",0.00,0.00,0.00,"7,396.23","2,678.00",102.24,60.00,300.00,129.97,0.00,0.00
Narinder Sekhon,Conservative and Unionist Party,Bradford South,40.37,"9,480.85","67,084","12,725.04",74.51,"9,233.39",247.46,0.00,0.00,"2,509.37","5,074.84",6.20,553.00,"1,107.46",229.98,0.00,"9,233.39"
Naz Shah,Labour Party,Bradford West,76.22,"6,965.31","67,917","12,775.02",54.52,0.00,"6,965.31",0.00,0.00,"2,631.64","2,965.90",0.00,0.00,0.00,"1,367.77",857.20,"6,965.31"
Derrick Hodgson,Brexit Party,Bradford West,3.52,0.00,"67,917","12,775.00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Darren Parkinson,Green Party,Bradford West,1.84,0.00,"70,694","12,775.02",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mark Christie,Liberal Democrats,Bradford West,3.05,685.25,"67,917","12,775.02",5.36,69.08,616.17,0.00,0.00,0.00,69.08,0.00,0.00,271.42,344.75,0.00,686.17
Mohammed Afzal,Conservative and Unionist Party,Bradford West,15.18,"3,678.14","67,917","12,775.02",28.79,"3,310.68",367.46,0.00,0.00,"1,010.68","1,675.00",0.00,625.00,97.46,270.00,150.00,"3,310.68"
James Cleverly,Conservative and Unionist Party,Braintree,67.55,"8,362.77","75,208","15,468.72",54.06,"7,081.19","1,281.58",0.00,0.00,419.99,"4,439.80",0.00,0.00,"2,789.40",713.58,100.00,"8,362.77"
Jo Beavis,Independent and Other,Braintree,2.95,"1,478.28","75,208","15,468.72",9.56,"1,478.28",0.00,0.00,0.00,150.00,"1,267.97",60.31,0.00,0.00,0.00,0.00,"1,478.28"
Jane Dodds,Liberal Democrats,Brecon and Radnorshire,35.88,"12,066.42","52,870","13,458.30",89.66,"8,653.78","3,412.64",0.00,0.00,"3,296.28","5,657.25",0.00,0.00,"1,203.36","1,909.53",0.00,"50,229.31"
James Cleverly,Conservative and Unionist Party,Braintree,67.55,"8,362.77","75,208","15,468.72",54.06,"7,081.19","1,281.58",0.00,0.00,419.99,"4,439.80",0.00,0.00,"2,789.40",713.58,100.00,"8,362.77"
Fay Jones,Conservative and Unionist Party,Brecon and Radnorshire,53.14,"12,461.91","52,870","13,458.30",92.6,0.00,"12,461.91",0.00,0.00,"2,311.43","5,406.96",212.28,274.66,"3,003.49","1,253.09",250.00,"12,461.91"
Tom Davies,Labour Party,Brecon and Radnorshire,9.55,"2,475.11","55,490","13,694.10",18.07,"2,390.91",84.20,0.00,0.00,33.52,"2,357.39",0.00,0.00,0.00,0.00,0.00,"2,390.91"
Jeff Green,Independent and Other,Brecon and Radnorshire,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN
Dawn Butler,Labour Party,Brent Central,64.68,"8,879.58","79,279","13,457.00",65.98,0.00,"8,879.58",0.00,0.00,737.23,"5,747.53",192.85,0.00,0.00,"2,201.97",0.00,"4,165.00"
Deborah Unger,Liberal Democrats,Brent Central,9.86,"1,768.82","80,627","13,537.00",13.07,"1,743.82",25.00,0.00,0.00,25.00,"1,743.82",0.00,0.00,0.00,0.00,NaN,"1,768.82"
David Brescia,Conservative and Unionist Party,Brent Central,22.2,"2,491.07","79,279","13,456.74",18.51,"1,948.40",542.67,0.00,0.00,53.70,"1,930.74",4.30,0.00,384.61,117.72,0.00,"3,347.67"
William Relton,Green Party,Brent Central,3.26,251.27,"79,279","13,456.00",1.87,251.27,0.00,0.00,0.00,0.00,251.27,0.00,0.00,0.00,0.00,0.00,0.00
Barry Gardiner,Labour Party,Brent North,51.87,"11,059.42","80,694","13,541.64",81.67,0.00,"11,059.42",0.00,0.00,"1,622.34","7,943.88",180.00,0.00,200.00,"1,113.20",210.00,"11,059.42"
Paul Lorber,Liberal Democrats,Brent North,7.84,569.79,"80,694","13,541.64",4.21,569.79,0.00,0.00,0.00,0.00,569.79,0.00,0.00,0.00,0.00,0.00,569.79
Elcena Jeffers,Independent and Other,Brent North,0.19,NaN,"80,694",0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Noel Coonan,Independent and Other,Brent North,0.33,0.00,NaN,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anjana Patel,Conservative and Unionist Party,Brent North,36.3,"8,402.61","83,788","13,727.28",61.21,"6,517.35","1,885.26",0.00,0.00,"3,357.96","3,210.40",0.00,0.00,627.95,"1,206.30",0.00,"5,899.00"
Simon Rebbitt,Green Party,Brent North,1.64,0.00,"80,694","13,541.00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ruth Cadbury,Labour Party,Brentford and Isleworth,50.18,"12,524.97","82,723","13,663.38",91.67,"12,064.97",460.00,0.00,0.00,602.00,"6,020.00",0.00,31.25,"3,600.00","2,271.72",154.80,"12,524.97"
Daniel Goldsmith,Green Party,Brentford and Isleworth,3.14,852.82,"82,723","13,663.38",6.24,852.82,0.00,0.00,0.00,0.00,821.57,0.00,31.25,0.00,0.00,NaN,852.82
Helen Cross,Liberal Democrats,Brentford and Isleworth,12.54,"5,395.58","82,723","13,663.38",39.49,"5,395.58",0.00,0.00,0.00,"1,661.77","3,733.81",0.00,0.00,0.00,0.00,30.00,"7,307.75"
Seena Shah,Conservative and Unionist Party,Brentford and Isleworth,32.15,"9,899.11","82,723","13,449.48",73.6,"6,823.61","3,075.50",0.00,0.00,"1,871.88","4,023.48",0.00,31.25,"1,882.50","2,090.00",0.00,"1,499.00"
Oliver Durose,Labour Party,Brentwood and Ongar,13.68,"2,605.54","74,219","13,157.00",19.8,"2,605.54",0.00,0.00,0.00,0.00,"2,605.54",0.00,0.00,0.00,0.00,0.00,0.00
David Kendall,Liberal Democrats,Brentwood and Ongar,13.57,"2,769.99","74,219","13,157.46",21.05,"2,769.99",0.00,0.00,0.00,0.00,"2,769.99",0.00,0.00,0.00,0.00,0.00,"1,315.00"
Madeleine Moon,Labour Party,Bridgend,40.34,"9,210.54","63,303","14,397.27",63.97,0.00,"9,210.54",0.00,0.00,856.32,"7,487.50",0.00,0.00,284.70,582.02,0.00,"9,210.54"
Jonathan Pratt,Liberal Democrats,Bridgend,5.61,0.00,"62,185","14,296.65",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jamie Wallis,Conservative and Unionist Party,Bridgend,43.07,"13,456.35","63,303","14,397.27",93.46,"8,922.31","4,534.04",0.00,0.00,"1,789.96","10,750.89",0.00,29.17,10.00,876.33,50.00,"13,456.35"
Leanne Lewis,Plaid Cymru,Bridgend,4.77,"1,272.00","63,303","14,397.27",8.84,"1,272.00",0.00,0.00,0.00,0.00,"1,272.00",0.00,0.00,0.00,0.00,0.00,"1,272.00"
Alex Harris,Green Party,Bridgend,1.93,160.00,"63,303","14,397.27",1.11,160.00,0.00,0.00,0.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00
Robert Morgan,Brexit Party,Bridgend,4.29,"6,134.40","63,303","8,229.39",74.54,"6,134.40",0.00,0.00,0.00,"3,388.40","2,746.00",0.00,0.00,0.00,0.00,0.00,0.00
Ian Liddell-Grainger,Conservative and Unionist Party,Bridgwater and West Somerset,62.14,"14,559.29","82,985","16,168.65",90.05,"5,316.06","9,243.23",0.00,0.00,909.17,"10,943.05",0.00,0.00,"1,622.25","1,084.82",0.00,"14,559.29"
David Dobbie,Liberal Democrats,Brigg and Goole,5.02,463.78,"64,325","14,489.25",3.2,463.78,0.00,0.00,0.00,0.50,463.28,0.00,0.00,0.00,0.00,0.00,633.00
Andrew Percy,Conservative and Unionist Party,Brigg and Goole,71.29,"13,482.20","64,325","14,489.25",93.05,0.00,"13,482.20",0.00,0.00,330.36,"11,617.08",831.49,0.00,0.00,703.27,300.00,"13,482.20"
Jo Baker,Green Party,Brigg and Goole,2.95,110.00,"64,325","14,489.25",0.76,110.00,0.00,0.00,0.00,0.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00
Majid Khan,Labour Party,Brigg and Goole,20.74,"3,743.55","64,325","14,489.25",25.84,0.00,"3,743.55",0.00,0.00,741.58,"3,001.97",0.00,0.00,0.00,0.00,30.38,"3,743.55"
Lloyd Russell-Moyle,Labour Party,"Brighton, Kemptown",51.58,"12,213.15","65,148","12,608.88",96.86,332.00,"11,881.15",0.00,0.00,0.00,"11,036.15",0.00,0.00,0.00,"1,177.00","2,067.05","16,681.15"
Joe Miller,Conservative and Unionist Party,"Brighton, Kemptown",34.97,"12,023.72","65,148","12,608.88",95.36,"8,952.81","3,070.91",0.00,0.00,"1,394.68","6,125.71",0.00,44.64,933.26,"3,525.43",0.00,"12,023.72"
Alexandra Phillips,Green Party,"Brighton, Kemptown",4.61,"5,178.76","65,148","12,608.88",41.07,0.00,"5,178.76",0.00,0.00,"1,406.82","2,219.64",5.00,0.00,"1,074.95",472.35,24.00,"5,178.76"
Ben Thomas,Liberal Democrats,"Brighton, Kemptown",6.11,"1,348.00","65,148","12,609.00",10.69,"1,348.00",0.00,0.00,0.00,0.00,"1,348.00",0.00,0.00,0.00,0.00,0.00,"1,348.00"
Graham Cushway,Brexit Party,"Brighton, Kemptown",2.73,"2,629.15","66,557","12,693.42",20.71,"2,629.15",0.00,0.00,0.00,179.15,"2,450.00",0.00,0.00,0.00,0.00,0.00,0.00
Caroline Lucas,Green Party,"Brighton, Pavilion",57.16,"10,782.56","70,914","12,954.84",83.23,"7,694.95","3,087.61",0.00,0.00,"2,563.05","3,941.07",5.00,0.00,"3,487.38",786.06,45.71,"10,782.56"
Adam Imanpour,Labour Party,"Brighton, Pavilion",22.78,"5,608.48","79,057","13,443.42",41.72,164.02,"5,444.46",0.00,0.00,302.82,"4,658.19",254.97,0.00,0.00,392.50,0.00,"5,444.46"
Nigel Furness,UK Independence Party,"Brighton, Pavilion",0.31,902.00,"70,914",NaN,NaN,902.00,0.00,0.00,0.00,0.00,902.00,0.00,0.00,0.00,0.00,0.00,0.00
Emma Hogan,Conservative and Unionist Party,"Brighton, Pavilion",17.55,"6,690.14","79,057","12,608.00",53.06,"5,774.49",915.65,0.00,0.00,10.00,"5,774.49",0.00,0.00,639.28,266.37,0.00,"6,415.18"
Richard Milton,Brexit Party,"Brighton, Pavilion",1.33,"4,535.50","79,057","13,443.00",33.74,"4,535.50",0.00,0.00,0.00,0.00,"4,535.50",0.00,0.00,0.00,0.00,0.00,0.00
Citizen Skwith,Independent and Other,"Brighton, Pavilion",0.52,451.00,"70,914","12,954.84",3.48,451.00,0.00,0.00,0.00,451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kerry McCarthy,Labour Party,Bristol East,53.14,"11,784.90","71,915","13,014.90",90.55,0.00,"11,784.90",0.00,0.00,"1,923.62","5,866.50",0.00,0.00,0.00,"3,994.78",0.00,"11,784.90"
Conan Connolly,Green Party,Bristol East,4.04,"2,158.23","71,915","13,014.90",16.58,"2,158.23",0.00,0.00,0.00,0.00,650.00,55.27,0.00,"1,308.23",144.73,0.00,110.50
Darren Jones,Labour Party,Bristol North West,48.9,"11,885.62","76,273","13,276.38",89.52,0.00,"11,885.62",0.00,0.00,"2,395.53","6,164.49",0.00,30.00,0.00,"3,295.60",0.00,"11,885.62"
Chris Coleman,Liberal Democrats,Bristol North West,8.84,"10,192.72","76,273","13,276.38",76.77,"10,076.12",116.60,0.00,0.00,995.93,"6,084.19",0.00,0.00,"2,985.69",126.91,0.00,"10,523.37"
Karin Smyth,Labour Party,Bristol South,50.54,"10,342.11","84,079","13,744.74",75.24,0.00,"10,342.11",0.00,0.00,646.61,"9,313.06",0.00,0.00,0.00,382.44,0.00,"10,342.11"
Andrew Brown,Liberal Democrats,Bristol South,7.66,"4,352.40","84,079","13,744.74",31.67,"4,352.40",0.00,0.00,0.00,350.60,"3,416.72",0.00,0.00,450.00,135.08,0.00,"4,352.40"
Chris Coleman,Liberal Democrats,Bristol North West,8.84,"10,192.72","76,273","13,276.38",76.77,"10,076.12",116.60,0.00,0.00,995.93,"6,084.19",0.00,0.00,"2,985.69",126.91,0.00,"10,523.37"
Thangam Debbonaire,Labour Party,Bristol West,62.27,"9,668.21","92,025","14,221.00",67.99,"9,468.21",200.00,0.00,0.00,838.40,"7,436.34",0.00,0.00,0.00,"1,393.47",0.00,"5,930.00"
Andrew Boswell,Green Party,Broadland,2.48,100.20,"76,481","15,583.29",0.64,0.00,100.20,0.00,0.00,9.20,68.00,0.00,0.00,20.00,3.00,0.00,100.20
Jess Barnard,Labour Party,Broadland,21.19,"4,617.70","77,123","15,641.07",29.52,0.00,"4,617.70",0.00,0.00,225.00,"4,157.70",0.00,135.00,0.00,100.00,0.00,"4,617.70"
Jerome Mayhew,Conservative and Unionist Party,Broadland,59.56,"10,043.82","76,818","15,613.00",64.33,"9,747.66",296.16,0.00,0.00,"1,606.91","5,490.75",250.00,0.00,"1,381.71","1,314.45",NaN,"9,793.82"
